N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
6,1,0.543562243501128,0.7580403499687047,422.0,715.0,5088.883739471436,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687045,383.0,635.0,5122.516672134399,3,-1.0,-1.0,-1.0,-1.0
6,1,0.5435622435011281,0.7580403499687046,365.0,661.0,4814.623543262482,3,-1.0,-1.0,-1.0,-1.0
6,1,13885.47351622292,0.7580403499687046,412.0,570.0,4814.819421052933,3,-1.0,-1.0,-1.0,-1.0
6,1,,,,,,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,507.0,820.0,5042.575742721558,3,-1.0,-1.0,-1.0,-1.0
6,1,0.5435622435011281,0.7580403499687047,492.0,607.0,4997.585245370865,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,409.0,788.0,5163.1311457157135,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,540.0,819.0,5259.156936645508,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,378.0,673.0,4834.055524110794,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,450.0,580.0,5186.942905902863,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,669.0,682.0,5489.453897953033,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,421.0,732.0,4734.440519094467,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,492.0,737.0,4997.532148838043,3,-1.0,-1.0,-1.0,-1.0
6,1,0.543562243501128,0.7580403499687046,558.0,594.0,4897.505254983902,3,-1.0,-1.0,-1.0,-1.0
