N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002597,45.0,39.0,3.388275384902954,0,0.0,1.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002597,45.0,39.0,2.753439426422119,0,0.0,1.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,55.0,41.0,2.8459231853485107,0,0.0,1.0,1e-05,1e-09
3,1,0.103558376578837,0.1237810221002597,47.0,34.0,2.573971033096313,0,0.0,1.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,54.0,40.0,3.6522445678710938,0,0.0,1.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,40.0,2.7973079681396484,0,0.0,1.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,41.0,2.655837059020996,0,0.0,1.0,1e-05,1e-07
3,1,0.103558376578837,0.1237810221002597,44.0,34.0,2.5244452953338623,0,0.0,1.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,40.0,2.823526620864868,0,0.0,1.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,54.0,40.0,3.5494165420532227,0,0.0,1.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,48.0,41.0,3.259220123291016,0,0.0,1.0,1e-05,1e-05
3,1,0.103558376578837,0.1237810221002597,44.0,34.0,2.957067012786865,0,0.0,1.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,55.0,40.0,3.9008171558380127,0,0.0,1.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,55.0,40.0,3.436444997787476,0,0.0,1.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,46.0,33.0,2.814221143722534,0,0.0,1.0,1e-05,0.01
3,1,0.103558376578837,0.1237810221002596,51.0,37.0,2.8491485118865967,0,0.0,1.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,51.0,43.0,2.97711443901062,0,0.0,2.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,51.0,43.0,4.216468334197998,0,0.0,2.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,38.0,42.0,2.7930500507354736,0,0.0,2.0,1e-05,1e-09
3,1,0.1035583765780181,0.123932771808887,37.0,27.0,2.2781341075897217,0,0.0,2.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,46.0,39.0,2.7216696739196777,0,0.0,2.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,46.0,39.0,2.7145087718963623,0,0.0,2.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,50.0,42.0,3.1785876750946045,0,0.0,2.0,1e-05,1e-07
3,1,0.1035583765780181,0.123932771808887,40.0,27.0,3.6955273151397705,0,0.0,2.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,46.0,39.0,2.7109148502349854,0,0.0,2.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,46.0,39.0,4.402010440826416,0,0.0,2.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,50.0,42.0,3.296170711517334,0,0.0,2.0,1e-05,1e-05
3,1,0.1035583765780181,0.123932771808887,40.0,27.0,3.527265310287476,0,0.0,2.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,52.0,42.0,4.082507610321045,0,0.0,2.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,52.0,42.0,3.025946855545044,0,0.0,2.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,41.0,44.0,2.5880258083343506,0,0.0,2.0,1e-05,0.01
3,1,0.103558376578837,0.1237810220998191,37.0,36.0,2.5702145099639893,0,0.0,2.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,53.0,34.0,3.505296230316162,0,0.0,3.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,53.0,34.0,2.464637756347656,0,0.0,3.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,58.0,33.0,2.5424513816833496,0,0.0,3.0,1e-05,1e-09
3,1,0.103558376578837,0.1237810220997739,47.0,39.0,2.4793055057525635,0,0.0,3.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,47.0,33.0,2.5210330486297607,0,0.0,3.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,47.0,33.0,3.3671224117279053,0,0.0,3.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,46.0,33.0,3.098076343536377,0,0.0,3.0,1e-05,1e-07
3,1,0.103558376578837,0.1239327718087381,43.0,24.0,2.743537425994873,0,0.0,3.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,47.0,33.0,3.8531103134155273,0,0.0,3.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,47.0,33.0,3.23885178565979,0,0.0,3.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,46.0,33.0,3.492168426513672,0,0.0,3.0,1e-05,1e-05
3,1,0.103558376578837,0.1239327718087381,43.0,24.0,3.527019023895264,0,0.0,3.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,47.0,36.0,2.5748190879821777,0,0.0,3.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,47.0,36.0,2.393916606903076,0,0.0,3.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,53.0,44.0,2.7275631427764893,0,0.0,3.0,1e-05,0.01
3,1,0.103558376578837,0.1239327718092238,50.0,30.0,2.341025829315185,0,0.0,3.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,49.0,42.0,2.380964994430542,0,1.0,1.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,49.0,42.0,2.338244915008545,0,1.0,1.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,57.0,38.0,2.081594228744507,0,1.0,1.0,1e-05,1e-09
3,1,0.1035583765782828,0.1237810220998191,47.0,39.0,3.046705961227417,0,1.0,1.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,52.0,39.0,1.9932880401611328,0,1.0,1.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,52.0,39.0,1.9573376178741453,0,1.0,1.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,43.0,31.0,1.6615033149719238,0,1.0,1.0,1e-05,1e-07
3,1,0.103558376578837,0.1237810220998191,54.0,39.0,2.165639162063598,0,1.0,1.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,52.0,39.0,1.865962028503418,0,1.0,1.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,52.0,39.0,2.477780818939209,0,1.0,1.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,43.0,31.0,1.972682237625122,0,1.0,1.0,1e-05,1e-05
3,1,0.103558376578837,0.1237810220998191,54.0,39.0,2.1661388874053955,0,1.0,1.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,43.0,31.0,1.6802995204925537,0,1.0,1.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,43.0,31.0,1.6753904819488523,0,1.0,1.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,55.0,39.0,1.954540491104126,0,1.0,1.0,1e-05,0.01
3,1,0.103558376578837,0.1237810221002597,45.0,37.0,2.0478057861328125,0,1.0,1.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002597,48.0,46.0,2.1215908527374268,0,1.0,2.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002597,48.0,46.0,2.558001518249512,0,1.0,2.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,54.0,39.0,2.668454647064209,0,1.0,2.0,1e-05,1e-09
3,1,0.1035583765784604,0.1237810220997765,38.0,37.0,2.0561747550964355,0,1.0,2.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002597,55.0,43.0,2.842359066009521,0,1.0,2.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002597,55.0,43.0,3.214165687561035,0,1.0,2.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,53.0,31.0,2.630497694015503,0,1.0,2.0,1e-05,1e-07
3,1,0.103558376578837,0.1237810220998191,47.0,39.0,2.324054479598999,0,1.0,2.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002597,55.0,43.0,2.6776297092437744,0,1.0,2.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002597,55.0,43.0,2.7707369327545166,0,1.0,2.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,53.0,31.0,2.833131790161133,0,1.0,2.0,1e-05,1e-05
3,1,0.103558376578837,0.1237810220998191,47.0,39.0,2.457474946975708,0,1.0,2.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,42.0,36.0,2.091174602508545,0,1.0,2.0,1e-09,0.01
