U1,U2,X,B1,A1,Y
0,1,0,1,1,0
0,0,0,1,1,1
0,1,0,1,1,0
1,1,1,0,1,1
0,0,0,0,0,0
1,1,1,0,1,0
0,1,0,1,1,0
1,0,1,1,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,0,1,1,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
0,0,0,0,0,0
1,0,1,1,0,0
0,0,1,1,1,1
1,1,1,0,1,0
1,0,1,1,1,1
0,0,0,0,0,0
0,1,0,1,1,0
0,0,0,0,0,0
1,0,1,1,0,1
1,0,1,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
1,1,1,0,1,0
0,1,0,1,1,0
0,0,0,0,0,0
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
0,1,0,1,1,0
1,0,1,1,0,1
1,0,1,1,0,0
1,1,1,0,1,0
1,1,1,0,1,1
1,0,1,1,0,0
0,1,0,1,1,0
1,0,1,1,0,1
1,1,1,0,1,0
0,1,0,1,1,0
0,0,0,0,0,0
1,1,1,0,1,0
1,0,1,1,0,0
0,0,0,0,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,0,0,1,1
1,0,1,1,0,0
0,0,0,0,0,0
1,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,1
0,1,0,1,1,0
1,0,1,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,0
0,0,0,1,1,1
0,0,0,0,0,0
0,1,0,1,1,0
0,1,0,1,1,0
1,0,1,1,0,0
0,0,0,0,0,0
0,1,0,1,1,0
1,0,1,1,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,0
1,0,1,1,0,0
1,1,1,0,1,0
1,1,1,0,1,0
0,1,0,1,1,0
1,1,1,0,1,0
1,0,1,1,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,0
1,1,1,0,1,0
1,0,1,1,1,1
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
1,1,1,0,1,0
0,1,0,1,1,0
0,0,0,0,0,0
1,0,1,1,0,0
0,1,0,1,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
0,0,0,0,0,0
0,1,0,1,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
0,1,0,1,1,0
1,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
1,0,1,1,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,1,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,1,0,1
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
0,1,0,1,1,0
1,1,1,1,0,1
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,1
0,1,0,1,1,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
1,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,0,0
0,1,0,1,1,0
0,1,0,1,1,0
0,1,1,0,0,1
0,1,0,1,1,0
1,0,1,1,0,0
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
1,0,1,1,0,0
0,1,0,1,1,0
1,1,1,0,1,0
1,0,1,1,0,0
1,0,1,1,0,0
0,0,0,0,1,1
1,1,1,0,1,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,0,0,1,1
1,0,1,1,0,0
1,1,1,0,1,0
1,0,1,1,0,1
1,1,1,0,1,0
0,0,0,0,1,1
